epoch,train_loss,val_loss,val_mae,lr
1,0.401879,0.361334,398.524994,5.00e-04
2,0.340213,0.287854,387.688385,5.00e-04
3,0.282419,0.266493,339.109161,5.00e-04
4,0.231444,0.204967,295.572662,5.00e-04
5,0.183764,0.158615,265.044006,5.00e-04
6,0.149897,0.151604,261.539703,4.99e-04
7,0.125568,0.150398,253.488495,4.99e-04
8,0.110996,0.101772,236.428909,4.98e-04
9,0.097911,0.083921,203.190903,4.98e-04
10,0.085169,0.079539,179.221924,4.98e-04
11,0.078586,0.079073,174.221832,4.97e-04
12,0.070992,0.101402,172.973343,4.96e-04
13,0.063772,0.093550,185.118439,4.96e-04
14,0.059377,0.055849,148.037537,4.95e-04
15,0.056178,0.057922,137.045807,4.94e-04
16,0.051256,0.075310,163.528030,4.93e-04
17,0.048978,0.060987,132.083694,4.92e-04
18,0.046469,0.059909,131.158371,4.91e-04
19,0.041832,0.070124,125.292824,4.90e-04
20,0.043396,0.095081,140.158981,4.89e-04
21,0.038573,0.057539,125.835739,4.88e-04
22,0.037938,0.063715,95.578575,4.87e-04
23,0.036893,0.060515,118.466949,4.85e-04
24,0.034473,0.039650,94.850769,4.84e-04
25,0.031712,0.049524,131.881760,4.82e-04
26,0.032294,0.033344,91.404640,4.81e-04
27,0.030605,0.048219,117.152649,4.79e-04
28,0.029571,0.033452,91.752235,4.78e-04
29,0.026896,0.036596,89.538445,4.76e-04
30,0.026422,0.037831,92.259232,4.75e-04
31,0.026543,0.034368,81.306641,4.73e-04
32,0.025947,0.048364,103.835762,4.71e-04
33,0.025473,0.043652,86.697212,4.69e-04
34,0.026180,0.038934,87.935043,4.67e-04
35,0.023150,0.051072,106.920967,4.65e-04
36,0.023401,0.028203,86.244812,4.63e-04
37,0.022516,0.027626,85.990868,4.61e-04
38,0.021368,0.026159,74.343674,4.59e-04
39,0.021670,0.026563,75.910545,4.57e-04
40,0.019436,0.026213,84.527969,4.55e-04
41,0.019744,0.029802,72.093544,4.52e-04
42,0.018693,0.038346,84.374115,4.50e-04
43,0.018624,0.035051,78.075119,4.48e-04
44,0.018143,0.035868,77.677879,4.45e-04
45,0.017164,0.044525,105.303757,4.43e-04
46,0.017267,0.028055,77.808083,4.40e-04
47,0.016278,0.031622,81.051308,4.38e-04
48,0.016420,0.028205,92.486061,4.35e-04
49,0.016032,0.032154,100.596786,4.32e-04
50,0.014841,0.032402,61.599010,4.30e-04
51,0.015126,0.043583,90.734207,4.27e-04
52,0.015086,0.026391,74.619568,4.24e-04
53,0.015277,0.021058,61.998940,4.21e-04
54,0.014105,0.024927,63.976978,4.18e-04
55,0.014167,0.032522,64.542419,4.15e-04
56,0.013921,0.031913,68.179497,4.12e-04
57,0.011977,0.019772,59.892250,4.09e-04
58,0.012650,0.022843,62.373222,4.06e-04
59,0.013235,0.017081,62.267818,4.03e-04
60,0.012924,0.025592,71.791290,4.00e-04
61,0.011935,0.022280,56.390209,3.97e-04
62,0.012226,0.024606,69.066879,3.94e-04
63,0.012085,0.020857,57.022537,3.91e-04
64,0.011285,0.018409,53.345119,3.87e-04
65,0.011016,0.023076,70.330673,3.84e-04
66,0.010826,0.021067,50.355194,3.81e-04
67,0.011333,0.021643,63.493073,3.77e-04
68,0.010209,0.030560,71.444176,3.74e-04
69,0.010720,0.025970,88.237541,3.70e-04
70,0.009948,0.025882,65.140938,3.67e-04
71,0.009839,0.022485,56.935833,3.63e-04
72,0.010196,0.019566,47.653740,3.60e-04
73,0.009774,0.028050,60.021564,3.56e-04
74,0.009134,0.029774,57.341221,3.53e-04
75,0.009477,0.031274,56.592808,3.49e-04
76,0.008694,0.022294,57.494194,3.46e-04
