epoch,train_loss,val_loss,val_mae,lr
1,0.293036,0.339689,429.385437,5.00e-04
2,0.212481,0.247507,429.150299,5.00e-04
3,0.173474,0.181143,302.303253,5.00e-04
4,0.147842,0.151307,287.918243,5.00e-04
5,0.126575,0.112178,233.098007,5.00e-04
6,0.109976,0.285111,460.850006,5.00e-04
7,0.097185,0.119464,247.019440,5.00e-04
8,0.086116,0.147309,338.334717,5.00e-04
9,0.078308,0.086191,222.414337,5.00e-04
10,0.072743,0.104696,232.860825,5.00e-04
11,0.067243,0.067869,191.575119,5.00e-04
12,0.062168,0.142133,317.898254,5.00e-04
13,0.058257,0.089523,229.408890,5.00e-04
14,0.055891,0.075408,203.049255,5.00e-04
15,0.051901,0.059612,162.908310,5.00e-04
16,0.049038,0.054846,158.665314,5.00e-04
17,0.046046,0.064871,190.685699,5.00e-04
18,0.044625,0.052113,163.896530,5.00e-04
19,0.041093,0.146565,309.752686,5.00e-04
20,0.040871,0.041804,150.938309,5.00e-04
21,0.038876,0.046508,144.683792,5.00e-04
22,0.038453,0.044954,157.067657,5.00e-04
23,0.036079,0.043506,153.698563,5.00e-04
24,0.035161,0.059898,195.245087,5.00e-04
25,0.032850,0.064623,206.130249,5.00e-04
26,0.032304,0.041082,146.710251,5.00e-04
27,0.031397,0.036904,138.186890,5.00e-04
28,0.030192,0.038763,143.685318,5.00e-04
29,0.029695,0.073349,216.998184,5.00e-04
30,0.028176,0.095899,291.274780,5.00e-04
31,0.028106,0.040782,142.707245,5.00e-04
32,0.027711,0.032248,123.268555,5.00e-04
33,0.026252,0.120060,277.659149,5.00e-04
34,0.025690,0.025012,99.807014,5.00e-04
35,0.024665,0.088543,245.551346,5.00e-04
36,0.024826,0.205576,419.026459,5.00e-04
37,0.023472,0.052271,159.063232,5.00e-04
38,0.024246,0.031187,127.363525,5.00e-04
39,0.023363,0.028932,116.616982,5.00e-04
40,0.022394,0.041578,149.973770,5.00e-04
41,0.022157,0.027860,110.813354,5.00e-04
42,0.022102,0.031856,130.906906,5.00e-04
43,0.020280,0.025964,108.268669,5.00e-04
44,0.020660,0.034034,124.051010,5.00e-04
45,0.020163,0.058781,187.565689,5.00e-04
46,0.020479,0.035942,143.502640,5.00e-04
47,0.019814,0.027901,124.580124,5.00e-04
48,0.019929,0.045014,178.024628,5.00e-04
49,0.019086,0.045306,181.249832,5.00e-04
