epoch,train_loss,val_loss,val_mae,lr
1,0.373730,0.344000,409.949677,5.00e-04
2,0.318065,0.278524,392.368317,5.00e-04
3,0.263394,0.227052,336.489197,5.00e-04
4,0.209132,0.172405,291.786835,5.00e-04
5,0.168588,0.145913,273.140686,5.00e-04
6,0.141294,0.120188,252.787262,5.00e-04
7,0.121201,0.132969,231.342377,5.00e-04
8,0.105971,0.089160,212.784668,5.00e-04
9,0.093696,0.078953,185.832260,5.00e-04
10,0.084319,0.075557,186.018417,5.00e-04
11,0.078056,0.091861,209.666397,5.00e-04
12,0.074034,0.080428,181.510696,5.00e-04
13,0.072860,0.069625,173.606354,5.00e-04
14,0.063657,0.058138,154.329865,5.00e-04
15,0.060805,0.059519,153.891800,5.00e-04
16,0.055920,0.055812,144.759613,5.00e-04
17,0.056786,0.058532,163.500275,5.00e-04
18,0.048016,0.057311,149.492645,5.00e-04
19,0.048305,0.053143,138.672043,5.00e-04
20,0.046057,0.052556,150.391830,5.00e-04
21,0.043357,0.047569,140.995224,5.00e-04
22,0.043884,0.040223,133.641724,5.00e-04
23,0.038275,0.040368,114.966934,5.00e-04
24,0.039143,0.036706,119.231941,5.00e-04
25,0.038078,0.048959,136.505524,5.00e-04
26,0.035875,0.034897,116.504814,5.00e-04
27,0.032735,0.030082,93.863556,5.00e-04
28,0.034830,0.037830,113.654922,5.00e-04
29,0.030813,0.030561,108.048004,5.00e-04
30,0.034485,0.032738,105.359489,5.00e-04
31,0.030114,0.035175,110.811913,5.00e-04
32,0.027982,0.030473,99.789169,5.00e-04
33,0.029094,0.026826,93.438072,5.00e-04
34,0.029460,0.031335,99.076515,5.00e-04
35,0.025942,0.027111,86.616661,5.00e-04
36,0.024077,0.034679,107.709557,5.00e-04
37,0.025419,0.035541,104.531898,5.00e-04
38,0.025955,0.025341,87.173042,5.00e-04
39,0.023051,0.025433,91.723213,5.00e-04
40,0.023555,0.029359,106.437035,5.00e-04
41,0.023570,0.023463,75.495148,5.00e-04
42,0.021804,0.024939,80.293976,5.00e-04
43,0.021367,0.030441,99.303200,5.00e-04
44,0.021319,0.028783,93.343102,5.00e-04
45,0.020316,0.022695,77.071892,5.00e-04
46,0.024408,0.030979,83.124039,5.00e-04
47,0.020168,0.031452,84.951836,5.00e-04
48,0.018104,0.023594,83.031380,5.00e-04
49,0.018348,0.028273,90.702995,5.00e-04
50,0.018210,0.025432,77.959267,5.00e-04
51,0.019549,0.025904,87.795792,5.00e-04
52,0.019084,0.023105,72.078033,5.00e-04
53,0.017371,0.023273,78.118156,5.00e-04
54,0.017445,0.023874,71.225777,5.00e-04
55,0.017383,0.024867,84.359627,5.00e-04
56,0.018239,0.021759,68.355797,5.00e-04
57,0.019097,0.023602,84.123116,5.00e-04
58,0.016366,0.020251,72.679329,5.00e-04
59,0.015516,0.026484,85.411507,5.00e-04
60,0.015770,0.018184,68.752785,5.00e-04
61,0.014985,0.025959,79.366280,5.00e-04
62,0.015339,0.024454,84.454498,5.00e-04
63,0.014307,0.021337,72.443756,5.00e-04
64,0.014037,0.023691,84.348389,5.00e-04
65,0.016613,0.021865,73.889877,5.00e-04
66,0.013437,0.023172,75.126823,5.00e-04
67,0.013276,0.025969,86.104523,5.00e-04
68,0.015254,0.023517,73.376694,5.00e-04
69,0.012476,0.018579,62.375641,5.00e-04
70,0.012376,0.021930,62.320030,5.00e-04
71,0.017077,0.020430,65.730637,5.00e-04
72,0.012017,0.028726,81.033783,5.00e-04
73,0.014026,0.019048,68.178696,5.00e-04
74,0.012611,0.017655,59.258751,5.00e-04
75,0.012497,0.028322,77.547745,5.00e-04
76,0.012516,0.023012,74.433205,5.00e-04
77,0.013323,0.020581,65.771042,5.00e-04
78,0.010514,0.018502,60.164890,5.00e-04
79,0.010769,0.018555,61.240021,5.00e-04
80,0.012766,0.023252,72.764671,5.00e-04
81,0.010894,0.020772,64.015938,5.00e-04
82,0.011207,0.019830,58.846737,5.00e-04
83,0.010808,0.016996,61.121162,5.00e-04
84,0.011641,0.020699,72.718582,5.00e-04
85,0.013213,0.021180,70.894829,5.00e-04
86,0.009981,0.018890,63.222294,5.00e-04
87,0.009746,0.020084,61.839478,5.00e-04
88,0.009564,0.017537,53.893063,5.00e-04
89,0.011580,0.020065,69.720383,5.00e-04
90,0.010070,0.016998,53.309673,5.00e-04
91,0.012818,0.019446,60.832973,5.00e-04
92,0.009485,0.018085,60.682743,5.00e-04
93,0.010904,0.023073,77.150536,5.00e-04
94,0.009874,0.019068,59.985950,5.00e-04
95,0.010064,0.017548,50.341320,5.00e-04
96,0.010524,0.016753,48.832886,5.00e-04
97,0.010884,0.019331,54.540596,5.00e-04
98,0.008250,0.016482,49.891060,5.00e-04
99,0.008155,0.018611,63.784672,5.00e-04
100,0.008867,0.019142,69.996368,5.00e-04
