epoch,train_loss,val_loss,val_mae,lr
1,0.305887,0.337887,529.388733,5.00e-04
2,0.215262,0.293205,386.705078,5.00e-04
3,0.164962,0.244175,410.817810,5.00e-04
4,0.136527,0.205046,388.088043,5.00e-04
5,0.112100,0.173274,303.539246,5.00e-04
6,0.095367,0.110805,243.327179,5.00e-04
7,0.082027,0.226079,403.895935,5.00e-04
8,0.072625,0.088102,212.787857,5.00e-04
9,0.065332,0.108242,247.097183,5.00e-04
10,0.058641,0.105597,237.949844,5.00e-04
11,0.054818,0.057504,164.969345,5.00e-04
12,0.051843,0.083343,193.376846,5.00e-04
13,0.046824,0.102599,297.689240,5.00e-04
14,0.044702,0.061552,190.984772,5.00e-04
15,0.041515,0.089939,242.028580,5.00e-04
16,0.040096,0.088999,196.081055,5.00e-04
17,0.037386,0.046716,151.003738,5.00e-04
18,0.037179,0.132564,294.216919,5.00e-04
19,0.034247,0.099557,191.622208,5.00e-04
20,0.032469,0.064556,189.553223,5.00e-04
21,0.031245,0.031333,114.377739,5.00e-04
22,0.029097,0.045387,143.258728,5.00e-04
23,0.028445,0.035643,124.308578,5.00e-04
24,0.026493,0.029330,117.844284,5.00e-04
25,0.026529,0.063144,172.420868,5.00e-04
26,0.024998,0.052644,172.845184,5.00e-04
27,0.024383,0.058601,206.578735,5.00e-04
28,0.023473,0.026891,116.269051,5.00e-04
29,0.023068,0.021901,98.001862,5.00e-04
30,0.021773,0.045229,140.207855,5.00e-04
31,0.021546,0.064095,231.512436,5.00e-04
32,0.021642,0.036026,149.176971,5.00e-04
33,0.020020,0.045915,183.327148,5.00e-04
34,0.020104,0.024582,113.226158,5.00e-04
35,0.019308,0.032633,138.663651,5.00e-04
36,0.019499,0.029803,120.641693,5.00e-04
37,0.018765,0.064629,226.997757,5.00e-04
38,0.018289,0.025950,112.148773,5.00e-04
39,0.017554,0.034400,130.416656,5.00e-04
40,0.017283,0.079642,241.273331,5.00e-04
41,0.016885,0.020086,101.888451,5.00e-04
42,0.016998,0.019953,90.952217,5.00e-04
43,0.015573,0.026098,121.167908,5.00e-04
44,0.015703,0.044155,178.787354,5.00e-04
45,0.015039,0.018742,97.996658,5.00e-04
46,0.015138,0.019468,97.350052,5.00e-04
47,0.014986,0.027927,137.210251,5.00e-04
48,0.014535,0.067466,253.544098,5.00e-04
49,0.013183,0.014808,70.111710,5.00e-04
50,0.014282,0.032484,137.761871,5.00e-04
51,0.013552,0.015446,70.592049,5.00e-04
52,0.013209,0.041368,189.364822,5.00e-04
53,0.012651,0.027689,139.527756,5.00e-04
54,0.013015,0.070214,218.898071,5.00e-04
55,0.011889,0.027292,107.503487,5.00e-04
56,0.012639,0.029739,102.997452,5.00e-04
57,0.011806,0.013878,71.899040,5.00e-04
58,0.012413,0.014281,79.735924,5.00e-04
59,0.011923,0.012629,67.946693,5.00e-04
60,0.010947,0.012367,65.696426,5.00e-04
61,0.010438,0.021591,94.880554,5.00e-04
62,0.011552,0.026088,105.436752,5.00e-04
63,0.010771,0.023688,106.815956,5.00e-04
64,0.010317,0.013709,78.334564,5.00e-04
65,0.010236,0.024271,128.279510,5.00e-04
66,0.009731,0.012536,66.479164,5.00e-04
67,0.009878,0.037812,152.038925,5.00e-04
68,0.009567,0.015381,80.363991,5.00e-04
69,0.009631,0.034712,158.587265,5.00e-04
70,0.008960,0.015245,85.490570,5.00e-04
71,0.009894,0.015081,69.070961,5.00e-04
72,0.008662,0.018617,102.188667,5.00e-04
73,0.009309,0.042804,144.619080,5.00e-04
74,0.008707,0.020375,93.946342,5.00e-04
75,0.008574,0.013929,73.935928,5.00e-04
