epoch,train_loss,val_loss,val_mae,lr
1,0.386707,0.345726,399.463684,5.00e-04
2,0.310906,0.309755,370.843018,5.00e-04
3,0.258123,0.188841,291.350861,5.00e-04
4,0.214904,0.165309,239.568893,5.00e-04
5,0.192152,0.137882,224.006577,5.00e-04
6,0.159064,0.132842,223.106628,5.00e-04
7,0.143533,0.121457,191.474884,5.00e-04
8,0.134888,0.116208,203.050568,5.00e-04
9,0.125899,0.131661,219.904495,5.00e-04
10,0.116951,0.122749,222.625397,5.00e-04
11,0.109153,0.111876,184.561203,5.00e-04
12,0.103626,0.107893,192.763931,5.00e-04
13,0.093720,0.090536,169.053345,5.00e-04
14,0.093289,0.079914,143.001755,5.00e-04
15,0.085262,0.092465,179.112976,5.00e-04
16,0.088860,0.097464,141.530594,5.00e-04
17,0.078732,0.112222,157.249741,5.00e-04
18,0.076983,0.103374,124.452362,5.00e-04
19,0.074159,0.083874,138.187531,5.00e-04
20,0.074411,0.095502,163.138321,5.00e-04
21,0.067021,0.079459,126.403732,5.00e-04
22,0.067928,0.088487,136.894379,5.00e-04
23,0.065086,0.075265,136.761841,5.00e-04
24,0.060586,0.058009,118.529526,5.00e-04
25,0.058440,0.074400,140.358276,5.00e-04
26,0.060955,0.063023,133.774780,5.00e-04
27,0.055950,0.098315,133.620697,5.00e-04
28,0.052009,0.075911,119.481529,5.00e-04
29,0.058337,0.092643,128.247269,5.00e-04
30,0.052986,0.067563,133.486649,5.00e-04
31,0.048871,0.079966,115.793777,5.00e-04
32,0.049703,0.073701,130.776535,5.00e-04
33,0.050068,0.076298,141.056549,5.00e-04
34,0.048640,0.090723,117.601341,5.00e-04
35,0.047739,0.073447,119.390678,5.00e-04
36,0.045215,0.068856,121.492149,5.00e-04
37,0.041580,0.087526,116.143715,5.00e-04
38,0.041198,0.091680,146.445602,5.00e-04
39,0.044998,0.057999,110.145248,5.00e-04
40,0.041286,0.071309,96.300621,5.00e-04
41,0.041057,0.076226,137.366089,5.00e-04
42,0.042415,0.077944,112.625877,5.00e-04
43,0.037105,0.061074,85.536186,5.00e-04
44,0.042627,0.090572,141.192368,5.00e-04
45,0.037065,0.115543,211.725693,5.00e-04
46,0.038626,0.100145,95.120529,5.00e-04
47,0.033259,0.094073,97.975044,5.00e-04
48,0.036976,0.064140,93.899765,5.00e-04
49,0.035093,0.055382,88.330757,5.00e-04
50,0.032709,0.091792,96.877342,5.00e-04
51,0.032038,0.066103,89.873268,5.00e-04
52,0.032469,0.064058,103.964592,5.00e-04
53,0.033699,0.060240,78.884300,5.00e-04
54,0.033645,0.062218,118.217903,5.00e-04
55,0.031065,0.093799,88.210983,5.00e-04
56,0.033185,0.055403,78.356407,5.00e-04
57,0.030985,0.080062,105.931129,5.00e-04
58,0.031776,0.082448,92.336655,5.00e-04
59,0.027908,0.111193,99.633911,5.00e-04
60,0.031751,0.068066,79.981056,5.00e-04
61,0.031338,0.072524,90.121605,5.00e-04
62,0.026444,0.082061,76.162788,5.00e-04
63,0.030287,0.134729,86.773529,5.00e-04
64,0.027723,0.089778,79.954979,5.00e-04
65,0.025676,0.073221,92.528587,5.00e-04
66,0.028708,0.135386,98.850166,5.00e-04
67,0.024276,0.114762,83.857628,5.00e-04
68,0.024792,0.150493,101.893417,5.00e-04
69,0.029549,0.085936,80.882957,5.00e-04
70,0.025084,0.113764,94.162598,5.00e-04
71,0.024957,0.104505,82.787567,5.00e-04
72,0.025037,0.092388,76.240112,5.00e-04
73,0.024409,0.118705,82.617744,5.00e-04
74,0.024047,0.105282,92.472977,5.00e-04
75,0.024681,0.116804,77.542023,5.00e-04
76,0.020995,0.174450,96.942329,5.00e-04
77,0.023752,0.151952,85.602318,5.00e-04
