epoch,train_loss,val_loss,val_mae,lr
1,0.398875,0.361783,423.781921,1.00e-03
2,0.358788,0.323919,369.614014,1.00e-03
3,0.312992,0.294800,346.889526,1.00e-03
4,0.268137,0.248160,363.980164,9.99e-04
5,0.229255,0.238472,325.672180,9.99e-04
6,0.199794,0.196727,284.604095,9.98e-04
7,0.177494,0.181344,254.158600,9.98e-04
8,0.161267,0.156761,246.767059,9.97e-04
9,0.149293,0.150772,232.162476,9.96e-04
10,0.137016,0.129858,231.529739,9.95e-04
11,0.127921,0.140718,225.907593,9.94e-04
12,0.121267,0.135804,243.305771,9.93e-04
13,0.117140,0.130317,215.674545,9.91e-04
14,0.110790,0.109803,213.865204,9.90e-04
15,0.108116,0.142366,216.862259,9.88e-04
16,0.104288,0.104184,183.347412,9.86e-04
17,0.101061,0.150526,192.329575,9.84e-04
18,0.097704,0.096148,170.995514,9.82e-04
19,0.094539,0.095913,166.851700,9.80e-04
20,0.091006,0.115939,182.882431,9.78e-04
21,0.089884,0.104251,200.937881,9.76e-04
22,0.087741,0.102679,167.133148,9.73e-04
23,0.085601,0.117397,174.826843,9.70e-04
24,0.084629,0.088220,177.657822,9.68e-04
25,0.082021,0.099758,158.228592,9.65e-04
26,0.080991,0.099098,156.840256,9.62e-04
27,0.080253,0.086208,142.233551,9.59e-04
28,0.076728,0.092961,169.274246,9.56e-04
29,0.076741,0.087121,150.427887,9.52e-04
30,0.073788,0.106473,141.903564,9.49e-04
31,0.073455,0.124266,183.138123,9.46e-04
32,0.072366,0.132903,154.697266,9.42e-04
33,0.070850,0.137648,163.570663,9.38e-04
34,0.068963,0.095412,162.808334,9.34e-04
35,0.069724,0.113843,177.253159,9.30e-04
36,0.068260,0.100493,138.237717,9.26e-04
37,0.066599,0.157902,145.526505,9.22e-04
38,0.066316,0.073304,130.984680,9.18e-04
39,0.064723,0.110382,146.521988,9.14e-04
40,0.063083,0.124302,163.310593,9.09e-04
41,0.061119,0.133062,157.705872,9.05e-04
42,0.062559,0.124449,142.793839,9.00e-04
43,0.060886,0.081717,139.748245,8.95e-04
44,0.060017,0.091987,147.452911,8.90e-04
45,0.059465,0.080333,146.249649,8.85e-04
46,0.058897,0.082038,137.253967,8.80e-04
47,0.057174,0.142208,149.410309,8.75e-04
48,0.056970,0.116399,145.088760,8.70e-04
49,0.054678,0.140278,129.844818,8.64e-04
50,0.055323,0.178727,147.036758,8.59e-04
51,0.053096,0.174078,197.558441,8.54e-04
52,0.054326,0.099958,131.891922,8.48e-04
53,0.050683,0.094385,126.538658,8.42e-04
54,0.051954,0.162530,132.251770,8.37e-04
55,0.051335,0.191069,171.403000,8.31e-04
56,0.050172,0.113326,135.281479,8.25e-04
57,0.050411,0.161337,177.408310,8.19e-04
58,0.047963,0.189540,132.701660,8.13e-04
59,0.047828,0.113071,129.040344,8.06e-04
60,0.046239,0.100379,145.642899,8.00e-04
61,0.047516,0.165007,128.316238,7.94e-04
62,0.045141,0.112900,153.932648,7.88e-04
63,0.046690,0.233494,155.002701,7.81e-04
64,0.045680,0.254002,138.006714,7.75e-04
65,0.044405,0.238994,146.145920,7.68e-04
66,0.043547,0.245178,149.320724,7.61e-04
67,0.043660,0.175554,132.140762,7.55e-04
68,0.042981,0.155905,145.154160,7.48e-04
69,0.044550,0.226822,133.909729,7.41e-04
70,0.040906,0.310836,171.392960,7.34e-04
71,0.041021,0.225340,136.790421,7.27e-04
72,0.040546,0.151774,128.188553,7.20e-04
73,0.040664,0.438302,152.666443,7.13e-04
